id,instruction,modality_hint,task,class
138,Is it possible to suppress quantum noise in this CT image affecting the tumor margins without oversmoothing edges as soon as possible?,CT,medical image restoration – denoising,noise
336,"For this case, can you sharpen the low spatial resolution in this MRI image affecting the renal medulla while maintaining diagnostic integrity for accurate diagnosis?",MRI,medical image restoration – super-resolution,SR
761,I need you to enhance the coarse voxel resolution affecting the spinal cord without distorting small structures urgently?,implicit,medical image restoration – super-resolution,SR
781,Could you increase the downsampled resolution in this X-ray image affecting the lung parenchyma without hallucinating structures as soon as possible?,X-ray,medical image restoration – super-resolution,SR
712,"For this case, can you correct photon starvation noise in this CT image affecting the vertebral bodies without compromising spatial resolution for immediate review?",CT,medical image restoration – denoising,noise
619,Please sharpen the low spatial resolution in this MRI image affecting the surrounding parenchyma without amplifying noise for accurate diagnosis?,MRI,medical image restoration – super-resolution,SR
454,Is it possible to fix partial volume blur in this PET image affecting the pancreatic tissue without amplifying noise for immediate review?,PET,medical image restoration – deblurring,blur
914,Would you remove temporal blurring in this MRI image affecting the deep gray nuclei without creating ringing artifacts for immediate review?,MRI,medical image restoration – deblurring,blur
670,"For this scan, can you compensate for sparse-view artifacts in this CT scan affecting the orbital tissues while preserving low-contrast pathology ?",CT,medical image restoration – low-dose artifact reduction,low-dose
200,Can you mitigate Poisson noise in this MRI image affecting the shoulder tendons while preserving subtle pathology ?,MRI,medical image restoration – denoising,noise
275,Please correct Gaussian noise in this CT image affecting the cardiac chambers without compromising spatial resolution ?,CT,medical image restoration – denoising,noise
38,Can someone remove scanner motion blur affecting the liver parenchyma while maintaining diagnostic contrast for accurate diagnosis?,implicit,medical image restoration – deblurring,blur
975,Could you sharpen patient motion blur in this PET image affecting the shoulder tendons without introducing artificial edges for reliable interpretation?,PET,medical image restoration – deblurring,blur
984,Would you correct cardiac motion blur in this X-ray image affecting the intervertebral discs while keeping anatomical boundaries sharp urgently?,X-ray,medical image restoration – deblurring,blur
663,Is it possible to clean up quantum mottle affecting the brain cortex while maintaining anatomical fidelity for immediate clinical assessment?,implicit,medical image restoration – low-dose artifact reduction,low-dose
419,Could you address Poisson noise affecting the hippocampus without altering intensity relationships ?,implicit,medical image restoration – denoising,noise
561,I need you to attenuate electronic sensor noise in this CT image affecting the myocardial wall while maintaining diagnostic contrast urgently?,CT,medical image restoration – denoising,noise
40,Can you remove partial volume blur affecting the meniscal tissue without amplifying noise for reliable interpretation?,implicit,medical image restoration – deblurring,blur
487,Could you address photon starvation noise affecting the meniscal tissue while keeping anatomical boundaries sharp for immediate review?,implicit,medical image restoration – denoising,noise
543,"For clinical review, can you suppress dose-induced graininess in this PET scan affecting the pulmonary vessels without blurring fine anatomy as soon as possible?",PET,medical image restoration – low-dose artifact reduction,low-dose
